[2024-04-15 22:34:41] [info] Gin log method:GET , path:/api/game/gamelist?stadium=%E7%AF%AE%E7%90%83%E5%9C%BA1&page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:34:43] [info] Gin log method:GET , path:/api/game/gamelist?stadium=%E7%AF%AE%E7%90%83%E5%9C%BA1&page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:34:45] [info] Gin log method:GET , path:/api/game/gamelist?stadium=%E7%AF%AE%E7%90%83%E5%9C%BA1&page=1&perPage=10 , status:200 , tc:2ms
[2024-04-15 22:34:49] [info] Gin log method:OPTIONS , path:/api/game/gamelist?stadium=%E7%AF%AE%E7%90%83%E5%9C%BA1&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:34:49] [info] Gin log method:GET , path:/api/game/gamelist?stadium=%E7%AF%AE%E7%90%83%E5%9C%BA1&page=1&perPage=10 , status:200 , tc:2ms
[2024-04-15 22:34:58] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:34:58] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-15 22:34:58] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:34:59] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:35:02] [info] Gin log method:OPTIONS , path:/api/game/gamelist?stadium=1&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:35:02] [info] Gin log method:GET , path:/api/game/gamelist?stadium=1&page=1&perPage=10 , status:200 , tc:9ms
[2024-04-15 22:35:03] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:35:07] [info] Gin log method:OPTIONS , path:/api/game/gamelist?date=2024-04-16&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:35:07] [info] Gin log method:GET , path:/api/game/gamelist?date=2024-04-16&page=1&perPage=10 , status:200 , tc:2ms
[2024-04-15 22:35:11] [info] Gin log method:OPTIONS , path:/api/game/gamelist?date=2024-04-15&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:35:11] [info] Gin log method:GET , path:/api/game/gamelist?date=2024-04-15&page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:36:09] [info] Gin log method:OPTIONS , path:/api/game/gamelist?date=2024-04-16&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:36:09] [info] Gin log method:GET , path:/api/game/gamelist?date=2024-04-16&page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:36:20] [info] Gin log method:OPTIONS , path:/api/game/gamelist?date=2024-04-16&username=yjh&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:36:20] [info] Gin log method:GET , path:/api/game/gamelist?date=2024-04-16&username=yjh&page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:36:23] [info] Gin log method:OPTIONS , path:/api/game/gamelist?date=&username=yjh&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:36:23] [info] Gin log method:GET , path:/api/game/gamelist?date=&username=yjh&page=1&perPage=10 , status:200 , tc:7ms
[2024-04-15 22:36:25] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:36:25] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:0ms
[2024-04-15 22:39:32] [info] Gin log method:GET , path:/api/game//gamelist?page=1&perPage=10 , status:401 , tc:0ms
[2024-04-15 22:39:33] [info] Gin log method:GET , path:/api/game/o/gamelist?page=1&perPage=10 , status:401 , tc:0ms
[2024-04-15 22:39:34] [info] Gin log method:GET , path:/api/game/out/gamelist?page=1&perPage=10 , status:401 , tc:0ms
[2024-04-15 22:39:36] [info] Gin log method:GET , path:/api/game/outed/gamelist?page=1&perPage=10 , status:401 , tc:0ms
[2024-04-15 22:39:37] [info] Gin log method:GET , path:/api/game/oute/gamelist?page=1&perPage=10 , status:401 , tc:0ms
[2024-04-15 22:39:38] [info] Gin log method:GET , path:/api/game/out/gamelist?page=1&perPage=10 , status:401 , tc:0ms
[2024-04-15 22:39:39] [info] Gin log method:GET , path:/api/game/outdatre/gamelist?page=1&perPage=10 , status:401 , tc:0ms
[2024-04-15 22:39:40] [info] Gin log method:GET , path:/api/game/outdatred/gamelist?page=1&perPage=10 , status:401 , tc:0ms
[2024-04-15 22:39:41] [info] Gin log method:GET , path:/api/game/outdat/gamelist?page=1&perPage=10 , status:401 , tc:0ms
[2024-04-15 22:39:42] [info] Gin log method:GET , path:/api/game/outdated/gamelist?page=1&perPage=10 , status:401 , tc:0ms
[2024-04-15 22:41:10] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:41:10] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:41:11] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:42:02] [info] Gin log method:OPTIONS , path:/api/game/outdated/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:42:02] [info] Gin log method:GET , path:/api/game/outdated/gamelist?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-15 22:42:09] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:42:09] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:42:11] [info] Gin log method:OPTIONS , path:/api/game/outdated/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:42:11] [info] Gin log method:GET , path:/api/game/outdated/gamelist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:44:50] [info] Gin log method:OPTIONS , path:/api/game/outdated/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:44:50] [info] Gin log method:GET , path:/api/game/outdated/gamelist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 22:45:29] [info] Gin log method:OPTIONS , path:/api/game/outdated/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 22:45:29] [info] Gin log method:GET , path:/api/game/outdated/gamelist?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-15 23:08:17] [info] Gin log method:OPTIONS , path:/api/game/outdated/gamelist?date=2024-04-16&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 23:08:17] [info] Gin log method:GET , path:/api/game/outdated/gamelist?date=2024-04-16&page=1&perPage=10 , status:200 , tc:8ms
[2024-04-15 23:08:19] [info] Gin log method:OPTIONS , path:/api/game/outdated/gamelist?date=2024-04-15&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 23:08:19] [info] Gin log method:GET , path:/api/game/outdated/gamelist?date=2024-04-15&page=1&perPage=10 , status:200 , tc:3ms
[2024-04-15 23:12:18] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 23:12:18] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-15 23:12:19] [info] Gin log method:OPTIONS , path:/api/game/outdated/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 23:12:19] [info] Gin log method:GET , path:/api/game/outdated/gamelist?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-15 23:12:20] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 23:12:23] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 23:12:23] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:3ms
[2024-04-15 23:12:23] [info] Gin log method:GET , path:/api/game/outdated/gamelist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 23:12:26] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-15 23:12:27] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 23:12:27] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 23:12:28] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 23:12:28] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:3ms
[2024-04-15 23:12:31] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-15 23:47:38] [info] Gin log method:OPTIONS , path:/api/game/outdated/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 23:47:38] [info] Gin log method:GET , path:/api/game/outdated/gamelist?page=1&perPage=10 , status:200 , tc:29ms
[2024-04-15 23:47:42] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 23:47:42] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:6ms
[2024-04-15 23:47:43] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 23:47:43] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:1ms
