[2024-04-16 01:13:52] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 01:13:52] [info] Gin log method:GET , path:/api/stadiumlist?page=1&perPage=10 , status:200 , tc:0ms
[2024-04-16 01:13:52] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 01:13:52] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:0ms
[2024-04-16 01:14:01] [info] Gin log method:GET , path:/api/stadiumlist?page=1&perPage=10 , status:401 , tc:0ms
[2024-04-16 01:15:41] [info] Gin log method:OPTIONS , path:/api/game/outdated/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 01:15:41] [info] Gin log method:GET , path:/api/game/outdated/gamelist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-16 01:15:43] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 01:15:43] [info] Gin log method:GET , path:/api/stadiumlist?page=1&perPage=10 , status:200 , tc:0ms
[2024-04-16 01:15:44] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 01:15:44] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:0ms
[2024-04-16 01:15:45] [info] Gin log method:GET , path:/api/game/outdated/gamelist?page=1&perPage=10 , status:200 , tc:0ms
[2024-04-16 01:15:46] [info] Gin log method:GET , path:/api/stadiumlist?page=1&perPage=10 , status:200 , tc:0ms
[2024-04-16 01:15:46] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-16 01:30:23] [info] Gin log method:POST , path:/user/login , status:200 , tc:2ms
[2024-04-16 01:32:45] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 01:32:45] [info] Gin log method:GET , path:/api/game/applyrecord?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-16 01:35:07] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?page=1&perPage=10&$$id=5a90c8396800 , status:204 , tc:0ms
[2024-04-16 01:35:16] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 01:35:16] [info] Gin log method:GET , path:/api/game/applyrecord?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-16 01:35:24] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?page=1&perPage=10&$$id=5a90c8396800 , status:204 , tc:0ms
[2024-04-16 01:48:51] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 01:48:51] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-16 01:48:55] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 01:48:55] [info] Gin log method:GET , path:/api/game/applyrecord?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-16 01:51:00] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 01:51:00] [info] Gin log method:GET , path:/api/game/applyrecord?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-16 01:51:09] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?date=2024-04-15&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 01:51:09] [info] Gin log method:GET , path:/api/game/applyrecord?date=2024-04-15&page=1&perPage=10 , status:200 , tc:3ms
[2024-04-16 01:51:14] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?date=2024-04-17&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 01:51:14] [info] Gin log method:GET , path:/api/game/applyrecord?date=2024-04-17&page=1&perPage=10 , status:200 , tc:2ms
[2024-04-16 01:51:21] [info] Gin log method:OPTIONS , path:/api/game/cancelapply , status:204 , tc:0ms
[2024-04-16 01:51:21] [info] Gin log method:POST , path:/api/game/cancelapply , status:404 , tc:0ms
[2024-04-16 01:51:21] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?date=2024-04-17&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 01:51:21] [info] Gin log method:GET , path:/api/game/applyrecord?date=2024-04-17&page=1&perPage=10 , status:200 , tc:1ms
[2024-04-16 01:51:44] [info] Gin log method:OPTIONS , path:/api/game/cancelapply , status:204 , tc:0ms
[2024-04-16 01:51:44] [info] Gin log method:POST , path:/api/game/cancelapply , status:404 , tc:0ms
[2024-04-16 01:51:44] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?date=2024-04-17&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 01:51:45] [info] Gin log method:GET , path:/api/game/applyrecord?date=2024-04-17&page=1&perPage=10 , status:200 , tc:1ms
[2024-04-16 01:52:20] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?date=2024-04-17&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 01:52:20] [info] Gin log method:GET , path:/api/game/applyrecord?date=2024-04-17&page=1&perPage=10 , status:200 , tc:3ms
[2024-04-16 01:52:24] [info] Gin log method:OPTIONS , path:/api/game/cancelapply , status:204 , tc:0ms
[2024-04-16 01:52:24] [info] Gin log method:POST , path:/api/game/cancelapply , status:200 , tc:6ms
[2024-04-16 01:52:24] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?date=2024-04-17&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 01:52:24] [info] Gin log method:GET , path:/api/game/applyrecord?date=2024-04-17&page=1&perPage=10 , status:200 , tc:2ms
[2024-04-16 01:52:27] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?date=2024-04-17&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 01:52:27] [info] Gin log method:GET , path:/api/game/applyrecord?date=2024-04-17&page=1&perPage=10 , status:200 , tc:1ms
[2024-04-16 01:58:50] [info] Gin log method:POST , path:/user/login , status:200 , tc:7ms
[2024-04-16 02:08:52] [info] Gin log method:GET , path:/api/game/applyrecord?page=1&perPage=10 , status:401 , tc:0ms
[2024-04-16 02:19:21] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?date=2024-04-17&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 02:19:21] [info] Gin log method:GET , path:/api/game/applyrecord?date=2024-04-17&page=1&perPage=10 , status:200 , tc:5ms
[2024-04-16 02:19:28] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?date=2024-04-17&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 02:19:28] [info] Gin log method:GET , path:/api/game/applyrecord?date=2024-04-17&page=1&perPage=10 , status:200 , tc:2ms
[2024-04-16 02:19:30] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 02:19:30] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:5ms
[2024-04-16 02:19:34] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 02:19:34] [info] Gin log method:GET , path:/api/game/applyrecord?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-16 02:19:37] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 02:19:37] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-16 02:19:38] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 02:19:38] [info] Gin log method:GET , path:/api/game/applyrecord?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-16 02:19:40] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 02:19:40] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-16 02:19:41] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 02:19:41] [info] Gin log method:GET , path:/api/game/applyrecord?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-16 02:20:19] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 02:20:19] [info] Gin log method:GET , path:/api/game/applyrecord?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-16 02:20:48] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 02:20:48] [info] Gin log method:GET , path:/api/game/applyrecord?page=1&perPage=10 , status:200 , tc:2ms
