[2024-04-01 19:39:16] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=1 , status:204 , tc:0ms
[2024-04-01 19:39:16] [error] getStadiumBooked err = [<nil>]

[2024-04-01 19:39:16] [error] getStadiumBooked err = [<nil>]

[2024-04-01 19:39:16] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=1 , status:200 , tc:1ms
[2024-04-01 19:39:36] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=&$$id=76c8749db733 , status:401 , tc:0ms
[2024-04-01 19:47:17] [info] Gin log method:OPTIONS , path:/user/login , status:204 , tc:0ms
[2024-04-01 19:47:17] [info] Gin log method:POST , path:/user/login , status:200 , tc:19ms
[2024-04-01 19:47:18] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1 , status:204 , tc:0ms
[2024-04-01 19:47:18] [info] Gin log method:GET , path:/api/stadiumlist?page=1 , status:200 , tc:0ms
[2024-04-01 19:47:20] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=1 , status:204 , tc:0ms
[2024-04-01 19:47:20] [error] getStadiumBooked err = [<nil>]

[2024-04-01 19:47:20] [error] getStadiumBooked err = [<nil>]

[2024-04-01 19:47:20] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=1 , status:200 , tc:1ms
[2024-04-01 19:47:32] [info] Gin log method:OPTIONS , path:/api/stadium/order , status:204 , tc:0ms
[2024-04-01 19:47:33] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1 , status:204 , tc:0ms
[2024-04-01 19:47:33] [info] Gin log method:GET , path:/api/stadiumlist?page=1 , status:200 , tc:0ms
[2024-04-01 19:47:35] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=1 , status:204 , tc:0ms
[2024-04-01 19:47:35] [error] getStadiumBooked err = [<nil>]

[2024-04-01 19:47:35] [error] getStadiumBooked err = [<nil>]

[2024-04-01 19:47:35] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=1 , status:200 , tc:1ms
[2024-04-01 19:47:41] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1 , status:204 , tc:0ms
[2024-04-01 19:47:41] [info] Gin log method:GET , path:/api/stadiumlist?page=1 , status:200 , tc:0ms
[2024-04-01 19:47:42] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=1 , status:204 , tc:0ms
[2024-04-01 19:47:42] [error] getStadiumBooked err = [<nil>]

[2024-04-01 19:47:42] [error] getStadiumBooked err = [<nil>]

[2024-04-01 19:47:42] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=1 , status:200 , tc:1ms
