[2024-04-03 00:21:28] [info] Gin log method:GET , path:/api/stadiumlist?page=1&perPage=10 , status:200 , tc:0ms
[2024-04-03 00:21:29] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=1&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:21:29] [error] getStadiumBooked err = [<nil>]

[2024-04-03 00:21:29] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=1&page=1&perPage=10 , status:200 , tc:32ms
[2024-04-03 00:21:38] [info] Gin log method:OPTIONS , path:/api/record/outdated/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:21:38] [info] Gin log method:GET , path:/api/record/outdated/recordlist?page=1&perPage=10 , status:200 , tc:3ms
[2024-04-03 00:21:40] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:21:40] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:25:13] [info] Gin log method:OPTIONS , path:/api/record/outdated/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:25:13] [info] Gin log method:GET , path:/api/record/outdated/recordlist?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-03 00:25:19] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:25:19] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:25:30] [info] Gin log method:OPTIONS , path:/api/record/outdated/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:25:30] [info] Gin log method:GET , path:/api/record/outdated/recordlist?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-03 00:25:31] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:25:31] [info] Gin log method:GET , path:/api/stadiumlist?page=1&perPage=10 , status:200 , tc:0ms
[2024-04-03 00:25:34] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=1&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:25:34] [error] getStadiumBooked err = [<nil>]

[2024-04-03 00:25:34] [error] getStadiumBooked err = [<nil>]

[2024-04-03 00:25:34] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=1&page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:25:38] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:25:38] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:28:33] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:28:33] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:28:35] [info] Gin log method:OPTIONS , path:/api/record/outdated/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:28:35] [info] Gin log method:GET , path:/api/record/outdated/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:28:38] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:41:47] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:41:47] [info] yesterday  [2024-04-02]

[2024-04-03 00:41:47] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:45:18] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:45:18] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:2ms
